,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url,Users_ID
0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177513,0,0,0,205281515
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571989630
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469678667
3,0,0,0,0,0,0,0,0,0,0,0,18,1,0,-1,0,-1,0,2,0,0,1,0,3,1,1,0,0,1,0,0,-1,0,2858633976
4,0,0,0,0,0,0,0,0,0,1,0,6,0,1,-1,0,-1,3,0,5,1,0,1,2,0,0,0,3,0,9474,0,0,0,955893199
5,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,6,0,6,4,0,4,2,0,0,0,6,0,3114,0,4,0,115498371
6,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,1,2,0,1,0,1,2,0,1,0,1,1,0,0,1,0,65541865
7,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,58,0,1,0,198610208
8,0,0,0,0,0,0,0,0,0,0,0,11,2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,22020,0,-1,0,2548129634
9,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,3,2,2,1,0,1,6,0,1,0,3,1,0,0,1,2,297981172
10,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,82554,0,0,0,4726331546
11,0,0,0,0,0,0,0,0,0,1,14,8,0,0,-1,0,-1,1,2,1,1,0,1,3,0,0,0,1,0,1,0,0,0,4886062291
12,0,0,0,1,0,0,0,0,0,0,1,46,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,39046654
13,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,2,0,1,1,0,1,1,0,2,0,2,1,542,0,1,0,913365120
14,0,0,0,0,0,0,0,1,0,0,1,23,0,0,-1,0,-1,2,1,0,1,0,1,2,0,0,0,2,0,33429,0,0,0,311638514
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529316945
16,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,2,4,2,0,2,0,0,0,0,3,0,1,0,2,2,2858646112
17,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,106847644
18,1,0,0,1,0,0,0,0,0,0,8,25,0,0,0,0,0,1,2,1,1,0,1,0,5,0,0,1,0,0,0,1,1,1659301490
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236889827
20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,559474123
21,0,0,0,0,0,1,0,0,0,1,1,28,0,1,-1,0,-1,3,2,0,1,0,1,7,0,0,0,3,0,1,0,0,1,162666283
22,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0,0,1,1,0,1,0,1,5,0,0,0,1,0,1,0,1,1,172883584
23,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,0,1,2,18977581
24,0,0,0,0,0,0,1,0,0,0,7,15,0,1,-1,0,-1,2,2,0,0,0,0,2,0,0,1,2,0,6,0,-1,2,162099486
25,0,0,0,0,0,0,0,0,0,0,0,18,2,1,-2,1,-2,0,0,0,0,1,0,0,5,0,3,0,0,20892,0,-2,0,3381175684
26,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,120687,0,0,1,78715776
27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,31780871
28,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,3362,0,0,0,2356721228
29,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,2,1,0,1,0,1,0,1,1,0,2,1,245,0,1,0,19187558
30,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,209,0,0,1,745663215527411712
31,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,1,2,1,1,0,1,2,0,0,0,1,0,0,0,1,1,2950746562
32,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,3,2,2,2,0,2,2,1,0,0,3,0,0,0,2,1,232945847
33,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,3,1,0,1,1,1,0,0,3,0,33834,0,1,0,1353249620
34,0,0,0,0,0,2,0,0,0,2,101,18,0,0,0,0,0,1,2,1,1,0,1,2,0,0,1,1,0,88,0,1,0,105177975
35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0,3025230513
36,0,0,0,0,0,0,0,0,0,0,9,39,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,87217798
37,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,4215047054
38,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428096604
39,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,2,2,0,2,0,2,1,0,0,2,2,0,0,0,2,2,374224434
40,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,273139682
41,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1466,0,1,1,984956035
42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,635910475
43,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,329,0,0,0,2732510148
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608267470
45,0,0,0,0,0,0,0,0,0,1,30,22,0,1,-1,0,-1,2,2,0,1,0,1,4,0,0,0,2,0,26,0,0,2,3017318286
46,0,0,0,0,0,0,0,0,0,5,15,210,0,0,0,0,0,5,10,20,5,0,5,20,0,0,0,5,0,0,0,5,5,1891409802
47,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,1,1,0,1,2,0,0,0,2,0,378,0,1,1,2725444603
48,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,1,2,0,0,0,1,0,0,0,1,0,267900047
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4104935422
50,0,0,0,0,0,0,0,0,0,0,3,30,1,1,-2,0,-2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,-2,0,177672950
51,0,0,0,0,0,0,0,0,0,2,2,88,0,0,-2,0,-2,2,2,0,0,0,0,8,6,0,0,2,0,92,0,-2,0,45190168
52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,6,0,0,1,0,1360,0,1,1,747830087614009344
53,0,0,0,0,0,0,1,0,0,1,0,36,0,1,-1,0,-1,3,2,1,1,0,1,4,0,0,0,3,0,0,0,0,1,724340386056028160
54,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,2,2,0,1,0,1,1,0,0,2,2,0,1,0,1,2,68937680
55,0,0,0,0,0,0,0,0,0,0,0,19,0,2,-1,0,-1,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,19898136
56,0,0,2,0,0,0,0,0,0,0,3,23,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,1,0,1,0,1,1,22298974
57,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,352542805
58,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,2,0,1,2,0,2,1,0,0,0,2,0,43389,0,2,0,2835336324
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177482844
60,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,976504626
61,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,2,1,1,1,1,2,5,1,0,1,1,0,0,1,0,920062927
