,retweet_count,fav_count,tweet_hour,usr_mention_count,dot_count,ques_count,excla_count,Pers_pronouns,Pronouns,happy_emoticons,sad_emoticons,cont_dot_count,cont_ques_count,cont_excla_count,Positive_Words,Negative_Words,posadj,negadj,posadv,negadv,Stress,Family_words,Affection_Words,Academics_count,Positive_Emotion_count,Negative_Emotion_count,Work_count,Office_count,,,,
,0,1,22,0,2,0,0,5,5,0,0,0,0,0,4,0,1,0,0,0,1,0,1.27027027027027,0,1.27027027027027,0,0,0,,,,
,4,0,22,1,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1.03571428571429,0,2.07142857142857,1.03571428571429,0,0,,,,
,0,0,19,0,3,0,0,1,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1.0625,0,0,,,,
,0,2,19,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,,,,
,257,0,18,1,3,0,0,3,3,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,1,17,0,1,0,0,4,6,0,0,0,0,0,1,4,1,0,0,0,1,2.36734693877551,1.18367346938776,1.18367346938776,1.18367346938776,2.36734693877551,0,0,,,,
,0,1,17,0,2,0,1,3,3,0,0,0,0,0,1,1,1,0,0,0,1,1.09375,1.09375,0,1.09375,1.09375,0,0,,,,
,0,0,16,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.25,0,1.25,0,0,0,,,,
,0,0,13,0,6,1,0,2,2,0,0,1,0,0,0,3,1,0,0,0,1,0,1.31818181818182,0,1.31818181818182,0,0,0,,,,
,0,3,12,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1.08695652173913,0,1.08695652173913,0,0,0,,,,
,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,2,0,0,,,,
,0,0,12,0,4,0,0,6,8,0,0,0,0,0,0,4,1,0,0,0,1,0,1.1063829787234,0,1.1063829787234,0,1.1063829787234,1.1063829787234,,,,
,0,2,12,0,4,1,0,6,7,0,0,0,0,0,2,3,1,0,0,0,1,0,1.18918918918919,0,1.18918918918919,0,0,0,,,,
,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1.06666666666667,0,2.13333333333333,2.13333333333333,0,0,,,,
,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,,,,
,0,1,1,0,1,0,0,7,8,0,0,0,0,0,4,3,1,0,0,0,1,0,1.1864406779661,0,3.55932203389831,1.1864406779661,0,0,,,,
,0,1,1,0,15,0,0,5,6,0,0,4,0,0,5,2,1,0,0,0,1,1.30952380952381,0,0,0,0,0,0,,,,
,0,8,1,0,0,3,2,1,1,0,0,0,0,0,1,4,1,0,0,0,1,0,1.18181818181818,0,1.18181818181818,4.72727272727273,1.18181818181818,0,,,,
,0,0,18,1,3,0,0,5,5,1,0,0,0,0,3,0,1,0,0,0,1,0,2.375,0,2.375,0,0,0,,,,
,1,0,16,1,3,1,0,4,8,0,0,0,0,0,1,1,1,0,0,0,1,0,1.20833333333333,0,1.20833333333333,0,0,0,,,,
,0,1,16,0,5,1,0,2,4,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,0,15,0,1,3,0,1,3,0,0,0,1,0,0,4,1,0,0,0,1,0,1.25925925925926,0,1.25925925925926,1.25925925925926,0,0,,,,
,0,0,15,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,,,,
,0,0,14,0,0,0,0,3,4,0,0,0,0,0,1,1,1,0,0,0,1,0,1.15,0,1.15,1.15,0,0,,,,
,0,0,13,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1.08333333333333,0,1.08333333333333,0,0,0,,,,
,0,0,13,0,1,1,0,5,6,0,0,0,0,0,0,2,1,0,0,0,1,0,2.27586206896552,0,2.27586206896552,0,0,0,,,,
,0,1,5,0,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,,,,
,0,9,3,0,1,0,0,4,4,0,0,0,0,0,3,0,1,0,0,0,1,0,1.2,0,1.2,0,0,0,,,,
,0,1,1,0,2,0,0,5,5,0,0,0,0,0,1,2,1,0,0,0,1,0,1.09375,0,1.09375,0,0,0,,,,
,0,1,1,1,3,0,1,5,6,0,0,0,0,0,1,0,1,0,0,0,1,0,1.28571428571429,0,1.28571428571429,0,0,0,,,,
,0,1,1,1,5,0,0,5,5,0,0,0,0,0,0,3,1,0,0,0,1,0,1.30769230769231,0,1.30769230769231,2.61538461538462,0,0,,,,
,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,4,1,0,0,0,1,0,1.16666666666667,0,1.16666666666667,0,0,0,,,,
,0,12,0,0,4,0,4,8,9,0,0,0,0,1,3,3,1,0,0,0,1,0,2.54901960784314,0,2.54901960784314,0,2.54901960784314,0,,,,
,0,0,21,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,,,,
,0,1,19,0,2,0,0,4,6,0,0,0,0,0,0,1,1,0,0,0,1,0,1.06818181818182,0,2.13636363636364,0,1.06818181818182,0,,,,
,0,18,18,0,2,2,0,6,9,0,0,0,0,0,3,1,1,0,0,0,1,0,1.25581395348837,0,2.51162790697674,1.25581395348837,0,0,,,,
,70,0,23,2,0,0,1,7,9,0,0,0,0,0,5,3,1,0,0,0,1,0,4.2962962962963,0,2.14814814814815,1.07407407407407,0,0,,,,
,0,1,23,1,2,0,0,8,11,0,0,0,0,0,5,3,1,0,0,0,1,0,1.12727272727273,0,3.38181818181818,0,0,0,,,,
,0,1,23,0,6,0,0,5,6,0,0,1,0,0,1,4,1,0,0,0,1,0,0,0,0,1.1875,0,0,,,,
,6,27,23,0,3,0,0,9,12,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,1.14285714285714,0,0,,,,
,0,2,23,0,3,0,0,6,7,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,29,0,23,1,4,0,0,5,7,0,0,0,0,0,2,2,1,0,0,0,1,0,1.14583333333333,0,1.14583333333333,0,0,0,,,,
,0,0,23,0,0,4,0,6,11,0,0,0,2,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,3,0,23,1,3,0,0,8,12,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1.22222222222222,0,0,0,,,,
,3,114,23,0,10,0,0,6,6,0,0,3,0,0,2,5,1,0,0,0,1,0,0,1.21739130434783,0,3.65217391304348,1.21739130434783,0,,,,
,1,0,23,1,0,1,0,2,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
,0,2,23,1,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,1,0,1.05882352941176,0,1.05882352941176,0,0,0,,,,
