image,url,question,original,pnoun,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,pword,nword,pemoji,nemoji,pun1,pun2,pun3,padv,nadv,favorite_count,retweets_count,hour,level,result
0,1,0,1,3,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,11,-0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,10,-0.047619048,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,10,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1,0,0,1,0,0,0,10,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,0,0,0,10,-0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,10,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9,-0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,0,0,1,9,-0.035714286,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,3,0,9,-0.086956522,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,1,0,9,-0.055555556,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8,-0.043478261,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,8,-0.047619048,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,8,-0.045454545,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,-0.076923077,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,-0.076923077,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,-0.076923077,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,8,-0.04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,7,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,7,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,7,-0.043478261,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-0.166666667,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,7,-0.071428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,-0.045454545,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
