cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,text,time,tweet_id,url,user_name
0,0,0,0,0,0,1,1,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Feel like I'm coming out in a stress rash, can't do Shakespeare to save my life and my assessment is tomorrow.",16-Feb-2017 (23:59:42.000000),832378953843236864,0,THEJEROMEOWEN
0,0,0,0,0,0,0,1,0,1,0,23,0,0,0,0,0,0,2,1,1,1,0,1,4,0,0,0,2,0,0,0,0,1,@rabiasquared I can feel your stress through this tweet. Do something nice for yourself for just 10 minutes. It will make you feel better.,16-Feb-2017 (23:55:44.000000),832377959260434432,0,RabRakha21
0,0,0,0,0,0,0,1,0,0,12,23,0,0,0,0,0,0,3,1,3,1,0,1,3,0,0,0,3,0,0,1,0,1,"These past few weeks have worn on me. However, despite all of the stress and lack of free time, I know I'm in the right place. Feels good.",16-Feb-2017 (23:54:41.000000),832377691231789056,0,RS_Aloha
0,0,0,0,0,0,1,0,0,0,17,23,0,0,2,-1,0,-1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,-1,@ my life right now- nothing in particular is going wrong I just feel STRESSED,16-Feb-2017 (23:50:44.000000),832376700952539136,0,preciselyizzy
0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,2,0,0,0,0,1,This new t shirt is supposed to be a 'relaxed fit' but i feel kinda stressed out wearing it #falseadvertising,16-Feb-2017 (23:47:38.000000),832375919662735360,0,thefireistarted
0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Talking about the day I found out I passed the boards makes me feel so stressed and emotional at the same time. #whatatime,16-Feb-2017 (23:46:49.000000),832375715026890752,0,amyjacy33
0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,3,1,2,1,1,1,6,0,0,0,3,0,0,0,0,1,I've been really stressed out in the past few weeks. Today I had an important exam and I'm just glad I did it. I feel so relieved now :D,16-Feb-2017 (23:46:07.000000),832375536798330880,0,_alister_
0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,"I feel like i turn into a better artist when im in an emotional sort of state(angry,  sad,  stressed etc.) https://t.co/l6s0fIIdou",16-Feb-2017 (23:42:09.000000),832374536922394624,0,TheMrOstrich
0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,0,1,0,0,0,0,1,I can't stress enough how strongly I feel about the issue of Congress exempting itself from laws it passes. https://t.co/sk2A15EROk,16-Feb-2017 (23:41:13.000000),832374304738332672,1,DorothyPearce
0,0,0,0,0,0,0,0,0,1,5,23,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,I feel hella stressed out I just wanna go drink w/ my girls already,16-Feb-2017 (23:40:22.000000),832374091667501056,0,griseldaaaa__
0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,-1,0,-1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,-1,i'm so stressed i'm feeling sick. i bet a shit ton of gummy bears and mac and cheese will make me feel better!,16-Feb-2017 (23:34:54.000000),832372713725509632,0,j_k_seriously
